,name,wins,losses,draws,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
5935,Ronnie Lawrence,8,,-0,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",2.88,56%,1.75,53%,,7.03,77%,47%,0.3
5936,Dhiego Lima,17,9,0,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.12,39%,3.88,58%,,1.26,34%,73%,0.6
5937,Ilir Latifi,16,8,0,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",1.84,39%,2.86,56%,,2.02,34%,100%,0.4
5938,Kemran Lachinov,3,,-0,--,170 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5939,Liang Na,19,6,0,"5' 5""",115 lbs.,"67""",Orthodox,"Jul 27, 1996",2.94,52%,4.09,27%,,5.74,50%,0%,1.9
5940,Jenel Lausa,7,,-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,42%,3.53,53%,,0.55,66%,51%,0.8
5941,Frank Lester,11,6,0,"5' 11""",170 lbs.,--,Orthodox,"Jun 10, 1984",2.18,36%,3.82,53%,,0.00,0%,0%,0.0
5942,Adam Lynn,17,1,-0,"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,,0.00,0%,50%,0.0
5943,Jorge Lopez,11,5,0,"5' 10""",170 lbs.,--,Orthodox,"Nov 21, 1988",2.47,59%,2.57,50%,,3.50,41%,81%,0.0
5944,Kevin Lee,18,7,0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.89,42%,3.56,50%,,3.19,43%,75%,0.8
5945,Ian Loveland,18,1,-0,"5' 8""",145 lbs.,--,Orthodox,"Sep 07, 1983",2.71,40%,2.36,64%,,1.00,37%,69%,0.3
5946,Diego Lopes,19,4,0,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",1.96,50%,4.31,40%,,0.00,0%,25%,4.4
5947,Michael Lerma,0,,-0,--,--,--,,--,0.00,0%,6.47,45%,,0.00,0%,0%,0.0
5948,Robbie Lawler,29,1,-0,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.83,46%,4.67,59%,,0.65,64%,65%,0.0
5949,Giacomo Lemos,6,,-0,"6' 3""",247 lbs.,"75""",Orthodox,"Jun 23, 1989",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5950,Anthony Lapsley,23,7,0,"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980",0.53,34%,0.58,66%,,0.00,0%,20%,0.0
5951,Malik Lewis,5,,-0,"6' 0""",155 lbs.,--,Orthodox,"Mar 04, 1996",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5952,Yohan Lainesse,9,,-0,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",2.69,43%,3.66,60%,,1.17,28%,88%,0.6
5953,Gabe Lemley,13,9,0,"5' 8""",155 lbs.,--,Orthodox,--,0.82,35%,6.03,45%,,0.00,0%,0%,0.0
5954,Sean McCorkle,17,7,0,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,,2.12,40%,33%,4.2
5955,Jeff Molina,11,2,0,"5' 6""",125 lbs.,"69""",Orthodox,"Jul 17, 1997",7.25,48%,5.04,55%,,0.00,0%,66%,0.0
5956,Greg McIntyre,6,,-0,"5' 10""",155 lbs.,--,Orthodox,"Apr 21, 1980",0.79,30%,1.36,41%,,5.09,50%,0%,0.0
5957,Gina Mazany,7,,-0,"5' 6""",125 lbs.,"68""",Southpaw,"Aug 19, 1988",3.73,50%,3.52,50%,,4.34,52%,33%,0.2
5958,Rudyard Moncayo,0,,-0,"5' 10""",195 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5959,Nayara Maia,7,,-1,"5' 5""",125 lbs.,"66""",Orthodox,"Jul 25, 1990",0.60,36%,3.33,43%,,1.00,33%,0%,1.0
5960,Jack Marshman,23,1,-0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2.74,25%,4.19,56%,,0.00,0%,20%,0.0
5961,Nate Mohr,9,,-0,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.50,74%,,0.45,50%,71%,0.0
5962,Fiona Muxlow,6,,-0,"5' 4""",145 lbs.,--,,"May 13, 1977",1.44,27%,5.45,34%,,0.00,0%,0%,0.0
5963,Scott McDonald,1,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5964,David Marshall,8,,-0,"6' 2""",170 lbs.,--,,"Aug 24, 1984",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5965,Doug Marshall,18,8,0,"5' 10""",205 lbs.,--,Orthodox,"Sep 09, 1975",6.99,46%,4.02,60%,,0.00,0%,66%,2.4
5966,Caio Magalhaes,10,3,0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,,1.05,15%,58%,1.6
5967,Sheymon Moraes,11,4,0,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",3.00,42%,3.64,63%,,0.00,0%,53%,0.0
5968,Steve Mann,12,5,0,"6' 1""",170 lbs.,--,,--,3.18,70%,0.66,57%,,1.64,100%,60%,0.0
5969,Emil Meek,9,,-1,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",2.52,39%,2.53,38%,,0.25,33%,47%,1.0
5970,Jeremy Malaterre,4,,-0,"5' 11""",155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5971,Michelle Maher,1,,-0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5972,Rob McCullough,19,8,0,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977",2.47,36%,2.84,59%,,0.46,100%,68%,0.0
5973,Nick Maximov,8,,-0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 23, 1997",1.82,52%,1.71,42%,,5.51,45%,100%,0.3
5974,Quinn Mulhern,18,4,0,"6' 3""",155 lbs.,--,Orthodox,"Sep 20, 1984",1.48,28%,2.09,51%,,1.36,20%,33%,0.0
5975,Mark Munoz,14,6,0,"6' 0""",185 lbs.,"71""",Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,,3.17,29%,57%,0.6
5976,Phillip Miller,16,0,0,"5' 11""",185 lbs.,--,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,,3.62,25%,100%,0.6
5977,AJ Matthews,8,,-0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,,0.00,0%,100%,0.0
5978,Suman Mokhtarian,8,,-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,,0.00,0%,0%,0.0
5979,Mallory Martin,7,,-0,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",4.42,48%,6.64,55%,,2.28,43%,25%,0.3
5980,Jim Mullen,0,,-0,"6' 1""",215 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5981,John Maguire,24,9,0,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983",1.41,41%,2.44,65%,,2.80,46%,77%,1.1
5982,Don'Tale Mayes,9,,-0,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",3.65,45%,3.84,43%,,1.11,53%,57%,0.0
5983,Brooke Mayo,0,,-0,"5' 7""",125 lbs.,--,,--,1.92,34%,3.20,63%,,3.20,60%,0%,2.1
5984,Vinicius Magalhaes,2,,-0,--,145 lbs.,--,,"Jul 30, 1971",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5985,Jon Murphy,6,,-0,"6' 3""",260 lbs.,--,Orthodox,"Aug 09, 1977",3.93,66%,8.85,43%,,0.00,0%,0%,0.0
5986,Sergio Moraes,14,6,1,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,,1.20,38%,75%,0.4
5987,Gary Mangat,15,3,0,"5' 7""",135 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5988,Nicco Montano,5,,-0,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.60,41%,4.43,64%,,2.25,54%,69%,0.4
5989,Jimi Manuwa,17,6,0,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",3.43,54%,3.97,49%,,0.53,18%,70%,0.4
5990,Ryan McGillivray,12,0,1,"5' 11""",170 lbs.,--,,"Sep 27, 1986",1.27,20%,2.20,52%,,0.00,0%,44%,0.0
5991,Fabio Maldonado,23,1,-0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,,0.44,57%,61%,0.6
5992,Drew McFedries,12,7,0,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,51%,4.56,52%,,1.42,100%,56%,0.7
5993,Frank Mir,18,1,-0,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,,2.02,40%,54%,2.0
5994,Brandon Magana,6,,-0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
5995,Sammy Morgan,18,1,-0,"5' 10""",170 lbs.,--,Orthodox,"Sep 28, 1981",1.05,22%,3.74,40%,,1.43,20%,0%,0.5
5996,Fazlo Mulabitinovic,4,,-0,--,135 lbs.,--,,--,0.54,16%,0.00,100%,,0.00,0%,0%,8.0
5997,Khalid Murtazaliev,14,2,0,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 15, 1993",4.80,69%,0.40,78%,,7.50,100%,33%,0.0
5998,Gegard Mousasi,42,6,2,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,50%,1.21,68%,,1.59,60%,59%,1.1
5999,Jack McGlaughlin,1,,-0,--,--,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6000,Rory Markham,17,6,0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",1.98,21%,10.27,45%,,0.00,0%,0%,0.0
6001,Enrique Marin,10,4,0,"5' 10""",170 lbs.,--,,"Sep 02, 1986",1.43,33%,3.00,50%,,2.50,38%,60%,1.0
6002,Kaline Medeiros,8,,-0,"5' 3""",115 lbs.,--,,--,2.06,70%,0.29,83%,,4.41,100%,0%,4.4
6003,Taylor Moore,10,5,0,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 16, 1993",0.20,75%,2.07,42%,,0.00,0%,25%,0.0
6004,Ho Bae Myeon,13,5,1,"5' 11""",168 lbs.,--,Orthodox,--,3.16,16%,3.16,83%,,0.00,0%,0%,0.0
6005,Islam Makhachev,22,1,0,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.27,57%,0.84,68%,,3.41,65%,88%,1.2
6006,Dave Menne,45,1,-2,"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,,0.46,50%,57%,2.5
6007,Sanford Alton Meeks,1,,-0,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994",0.71,42%,4.47,38%,,7.06,25%,0%,0.0
6008,Luis Mendoza,0,,-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6009,Cole Miller,21,1,-0,"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.00,33%,3.88,59%,,0.60,36%,38%,1.8
6010,Elvis Mutapcic,15,6,1,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986",3.41,40%,4.27,38%,,0.00,0%,81%,0.0
6011,Anistavio Medeiros,19,1,-0,"5' 6""",145 lbs.,--,Orthodox,"May 01, 1988",3.64,44%,5.00,47%,,0.00,0%,0%,0.0
6012,Roman Mitichyan,8,,-0,"5' 10""",170 lbs.,--,Orthodox,"Sep 04, 1978",0.26,16%,2.70,43%,,1.93,100%,25%,1.9
6013,Jordan Mein,31,1,-0,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,,1.56,58%,66%,0.2
6014,Brandon Melendez,25,2,-0,"5' 11""",155 lbs.,--,Southpaw,"Mar 24, 1983",0.84,26%,0.56,63%,,0.00,0%,25%,0.0
6015,Chris Mierzwiak,5,,-0,"6' 1""",185 lbs.,--,,"Feb 14, 1988",1.60,61%,1.73,48%,,2.00,28%,0%,1.0
6016,Eiji Mitsuoka,18,9,2,"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,,2.30,36%,20%,1.6
6017,Jason MacDonald,25,1,-0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.70,46%,,1.43,16%,35%,2.0
6018,Roque Martinez,15,8,2,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",3.28,53%,4.90,56%,,0.38,50%,53%,0.4
6019,Jack May,9,,-0,"6' 8""",255 lbs.,--,Switch,"Apr 14, 1981",1.52,38%,3.29,33%,,0.91,33%,20%,0.0
6020,Ricardo Morais,10,4,1,"6' 8""",270 lbs.,--,Orthodox,"Feb 26, 1967",2.86,37%,2.39,53%,,0.00,0%,0%,0.0
6021,Jesse Moreng,9,,-0,"5' 7""",145 lbs.,--,Orthodox,"Nov 09, 1979",1.26,40%,2.08,48%,,5.56,100%,100%,0.0
6022,Sergey Morozov,18,5,0,"5' 6""",135 lbs.,"67""",Orthodox,"Jun 14, 1989",3.34,48%,3.36,57%,,2.87,26%,64%,0.0
6023,Koichiro Matsumoto,15,3,1,"5' 7""",145 lbs.,--,,"Mar 07, 1986",1.90,26%,3.50,31%,,0.00,0%,0%,0.0
6024,Joseph Morales,9,,-0,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,,0.53,50%,23%,2.6
6025,Magomed Mustafaev,14,4,0,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988",2.59,58%,2.68,41%,,3.31,50%,23%,0.4
6026,Lee Murray,8,,-1,"6' 3""",185 lbs.,--,Orthodox,"Sep 12, 1977",0.36,15%,3.28,32%,,0.90,100%,42%,1.8
6027,Joe Martin,6,,-0,"5' 9""",170 lbs.,--,,--,0.73,40%,2.40,45%,,0.00,0%,16%,0.0
6028,Cory McKenna,7,,-0,"5' 3""",115 lbs.,"58""",Orthodox,"Jul 11, 1999",3.47,42%,3.53,47%,,2.06,53%,71%,0.6
6029,Antonio McKee,29,6,2,"5' 8""",155 lbs.,--,Southpaw,"Mar 12, 1970",1.37,45%,0.74,74%,,1.47,33%,57%,0.0
6030,Darrick Minner,26,1,-0,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",2.58,64%,1.95,32%,,2.46,72%,66%,2.8
6031,Ryan MacDonald,10,2,0,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993",2.28,29%,6.49,45%,,0.00,0%,0%,0.0
6032,Buck Meredith,3,,-0,"6' 2""",185 lbs.,--,,"May 17, 1982",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6033,Yaotzin Meza,21,1,-0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,,1.06,20%,18%,1.4
6034,Ruslan Magomedov,14,1,0,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,47%,1.47,66%,,0.33,100%,88%,0.0
6035,Abus Magomedov,25,4,1,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",22.11,100%,0.00,100%,,0.00,0%,0%,0.0
6036,Connor Matthews,5,,-0,"5' 8""",145 lbs.,--,Switch,"May 31, 1992",4.93,40%,7.33,52%,,0.00,0%,40%,1.0
6037,Vince Morales,11,6,0,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1990",4.42,38%,4.51,52%,,0.16,25%,43%,0.0
6038,Antonio Mendes,18,1,-0,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",1.34,47%,6.85,22%,,2.51,50%,100%,0.0
6039,Nikolas Motta,12,4,0,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",2.87,30%,4.64,60%,,0.00,0%,100%,0.0
6040,Jack Morrison,0,,-0,"5' 11""",205 lbs.,--,,--,0.00,0%,19.31,40%,,0.00,0%,0%,0.0
6041,Mo Miller,6,,-0,"5' 8""",135 lbs.,"72""",Orthodox,"Aug 10, 1992",1.87,45%,1.33,60%,,4.00,80%,0%,0.0
6042,Lerone Murphy,11,0,1,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",2.58,42%,1.90,62%,,0.76,33%,36%,0.8
6043,Clayton MacFarlane,4,,-0,--,170 lbs.,--,,--,1.33,52%,1.82,55%,,1.05,33%,37%,0.0
6044,Tateki Matsuda,13,8,0,"5' 7""",125 lbs.,--,Orthodox,"Feb 27, 1986",3.20,34%,3.43,69%,,0.00,0%,16%,0.0
6045,Steve Mensing,9,,3-2,"5' 11""",185 lbs.,--,Orthodox,"Dec 06, 1977",0.00,0%,9.51,42%,,0.00,0%,0%,0.0
6046,Billy Miles,2,,-0,"5' 10""",170 lbs.,--,Orthodox,"Apr 28, 1978",0.00,0%,1.25,33%,,0.00,0%,0%,0.0
6047,Aliev Makhmud,0,,-0,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970",1.12,30%,2.24,36%,,2.10,50%,0%,0.0
6048,Augusto Mendes,6,,-0,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,,1.75,33%,80%,0.0
6049,Clay Mitchell,1,,-0,"6' 2""",185 lbs.,--,,--,1.63,85%,0.00,0%,,0.00,0%,100%,4.1
6050,Justin Martin,4,,-0,"6' 0""",185 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6051,Victor Martinez,13,4,0,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 17, 1991",9.60,52%,7.53,55%,,1.00,50%,75%,0.0
6052,Melissa Martinez,7,,-0,"5' 2""",115 lbs.,"66""",Southpaw,"Aug 18, 1997",3.00,57%,2.53,45%,,1.00,50%,0%,0.0
6053,Toby Misech,9,,-0,"5' 8""",145 lbs.,--,Southpaw,"Mar 07, 1988",3.27,40%,7.73,46%,,0.00,0%,0%,0.0
6054,Micah Miller,20,8,0,"6' 0""",145 lbs.,--,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,,0.98,37%,21%,2.0
6055,Carlton Minus,10,3,0,"5' 10""",170 lbs.,"75""",Orthodox,"Apr 26, 1993",3.50,40%,4.97,50%,,0.00,0%,58%,0.0
6056,Miika Mehmet,3,,-0,--,205 lbs.,--,Orthodox,--,0.33,12%,7.29,24%,,0.00,0%,0%,0.0
6057,Demian Maia,28,1,-0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.80,43%,2.07,63%,,2.49,24%,61%,1.0
6058,Michael McBride,8,,-0,"6' 1""",155 lbs.,--,Orthodox,"Mar 09, 1986",4.08,48%,5.85,40%,,1.85,42%,30%,1.2
6059,Roxanne Modafferi,25,2,-0,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.35,30%,5.70,51%,,1.35,23%,30%,0.1
6060,Pawan Maan,7,,-1,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 06, 1986",0.89,44%,2.98,43%,,0.00,0%,0%,0.0
6061,Leonardo Morales,6,,-0,"5' 8""",135 lbs.,--,Southpaw,"Dec 22, 1992",2.05,47%,2.05,58%,,0.00,0%,62%,0.0
6062,Henry Miller,6,,6-0,"5' 7""",270 lbs.,--,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,,0.55,25%,60%,0.0
6063,Tatsuya Mizuno,16,1,-1,"6' 1""",205 lbs.,--,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,,1.19,25%,40%,3.6
6064,Veronica Macedo,6,,-1,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",3.13,39%,5.06,43%,,0.57,18%,46%,0.6
6065,Jorge Masvidal,35,1,-0,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.11,48%,3.06,64%,,1.44,59%,74%,0.3
6066,Mateus Mendonca,9,,-0,"5' 6""",135 lbs.,--,,"Jan 17, 1999",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6067,Takeya Mizugaki,21,1,-2,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,,1.46,57%,70%,0.1
6068,Justin McElfresh,6,,-0,"6' 6""",205 lbs.,--,Orthodox,"Jan 04, 1980",4.59,26%,12.79,41%,,0.00,0%,0%,0.0
6069,Eddie Mendez,8,,-1,"5' 10""",185 lbs.,--,,"Jan 16, 1984",1.71,33%,3.43,11%,,0.00,0%,0%,0.0
6070,David Michaud,11,3,0,"5' 9""",155 lbs.,--,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,,2.53,58%,77%,0.7
6071,Randa Markos,11,1,-1,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.97,43%,3.10,58%,,1.12,28%,52%,0.2
6072,Alberto Mina,13,1,0,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.70,47%,,1.85,20%,50%,0.0
6073,Tim Means,32,1,-1,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.01,48%,3.63,61%,,1.02,39%,66%,0.2
6074,Vince Murdock,12,4,0,"5' 6""",145 lbs.,"64""",Orthodox,"Mar 21, 1991",1.21,21%,7.17,40%,,0.00,0%,0%,0.0
6075,Vitor Miranda,12,5,0,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,,0.95,55%,50%,0.2
6076,CJ Marsh,5,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6077,Harry Moskowitz,6,,2-0,"6' 5""",275 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6078,Hiromitsu Miura,12,7,0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,,2.23,50%,69%,0.6
6079,Molly McCann,13,4,0,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.84,50%,4.84,64%,,1.73,35%,46%,0.5
6080,Nate Moore,8,,-0,"6' 0""",170 lbs.,--,,--,2.21,25%,2.87,42%,,1.23,16%,25%,0.0
6081,Court McGee,22,1,-0,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.68,37%,3.69,60%,,1.86,25%,69%,0.5
6082,Anthony Rocco Martin,17,6,0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,,0.71,27%,68%,1.0
6083,Sarah Moras,6,,-0,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,,0.67,21%,33%,0.8
6084,Albert Morales,7,,-1,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,,0.91,35%,70%,0.2
6085,Wagner da Conceicao Martins,9,,-0,"6' 7""",390 lbs.,--,Orthodox,"May 19, 1978",1.91,37%,5.43,42%,,2.20,100%,100%,0.0
6086,Maurice Mitchell,11,2,0,"5' 9""",145 lbs.,--,Orthodox,"Jun 29, 1987",3.80,55%,3.54,60%,,0.00,0%,100%,0.0
6087,Vitaly Minakov,20,0,0,"6' 2""",249 lbs.,--,,"Feb 06, 1985",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6088,Ivan Menjivar,25,1,-0,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,,0.56,28%,38%,1.0
6089,Rainy Martinez,0,,-0,"6' 0""",199 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6090,Zach Makovsky,20,8,0,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,43%,2.24,62%,,3.71,30%,56%,0.3
6091,Jonathan Meunier,8,,-0,"6' 3""",170 lbs.,--,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,,0.58,33%,58%,0.0
6092,Koyomi Matsushima,13,5,0,"5' 7""",145 lbs.,"66""",Orthodox,"Oct 08, 1992",3.27,45%,3.53,60%,,12.00,60%,0%,0.0
6093,Mike Massenzio,13,9,0,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,,2.74,24%,50%,1.4
6094,Kristof Midoux,6,,0-0,"6' 1""",220 lbs.,--,Orthodox,"Jul 30, 1974",0.70,43%,2.89,49%,,0.00,0%,0%,0.0
6095,Jeremiah Metcalf,13,7,0,"6' 1""",185 lbs.,--,Orthodox,--,1.74,59%,0.27,60%,,4.02,66%,100%,2.0
6096,Robert McDaniel,28,1,-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,44%,1.98,56%,,0.93,50%,50%,1.4
6097,Francis Marshall,6,,-0,"5' 9""",145 lbs.,--,Orthodox,"Mar 09, 1999",7.33,47%,4.93,59%,,6.00,60%,0%,0.0
6098,Juan Mott,3,,-0,"6' 0""",190 lbs.,--,Switch,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6099,Kazuo Misaki,25,1,-2,"5' 8""",183 lbs.,--,Orthodox,"Apr 25, 1976",2.85,40%,2.74,63%,,0.72,38%,51%,0.6
6100,Dan Molina,13,9,0,"5' 10""",216 lbs.,--,,"Jun 14, 1984",0.00,0%,5.58,60%,,0.00,0%,0%,20.9
6101,Tom Murphy,8,,-0,"6' 2""",227 lbs.,--,Southpaw,"Nov 19, 1974",2.50,71%,0.17,84%,,7.51,85%,0%,2.5
6102,Brian McLaughlin,6,,-0,"5' 9""",155 lbs.,--,,"May 12, 1984",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6103,Nair Melikyan,11,0,0,"5' 6""",155 lbs.,--,,"Aug 08, 1997",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6104,Bronson Mohika,1,,-0,--,135 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6105,Dan Moret,13,6,0,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,,1.25,27%,45%,0.4
6106,Marcelo Mello,1,,-0,"5' 7""",170 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6107,Brad Morris,10,6,0,"6' 2""",205 lbs.,--,Orthodox,"Nov 01, 1979",0.50,62%,6.95,27%,,0.00,0%,0%,0.0
6108,Uros Medic,8,,-0,"6' 1""",155 lbs.,"71""",Southpaw,"Apr 25, 1993",8.14,66%,3.76,59%,,0.00,0%,66%,0.0
6109,Danilo Marques,11,4,0,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",1.44,79%,2.52,52%,,3.93,28%,0%,0.8
6110,Don Madge,9,,-1,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",2.08,52%,0.74,67%,,2.22,25%,80%,0.7
6111,Max Martyniouk,1,,-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
6112,Gisele Moreira,8,,-0,"5' 6""",135 lbs.,--,Orthodox,"Jan 14, 1981",5.93,42%,6.33,48%,,4.00,57%,0%,0.0
6113,Terry Martin,23,1,-0,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980",2.82,43%,3.13,54%,,3.10,42%,92%,0.0
